Brand,ScreenSize,Ram,HardDisk,Price
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
LENOVO,15.6,12,512,478.88
Lenovo,16,16,512,1370.49
Dell,16,32,512,1616.99
Dell,15.6,64,2000,2539.99
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,16,512,1849.99
ASUS,14,4,64,184.99
ASUS,15.6,4,1000,235.75
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,16,32,2000,2899.99
Dell,13,16,1000,1150.99
Dell,14,16,512,999.99
HP,15.6,16,512,709.99
acer,14,8,64,489.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,16,512,351.98
ASUS,15.6,8,256,460
Lenovo,14,16,256,849
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Toughbook,10.1,8,256,999.99
HP,14,16,256,1384.99
Dell,13.4,16,512,1041.99
Lenovo,15.6,16,512,1698.49
Lenovo,16,16,512,1449.99
Dell,14,16,512,425
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,64,2000,1247.21
ASUS,16,16,1000,899.99
Dell,15.6,8,1000,980
HP,14,8,1000,332.88
LG,17,16,2000,1782.96
Lenovo,11.6,4,1000,195.99
Lenovo,14,16,1000,1356
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
ASUS,17.3,16,1000,1799
Lenovo,12.3,16,512,869.99
acer,15.6,16,512,630.15
Apple,13.6,16,512,1588.42
Lenovo,11.6,4,32,203.77
Lenovo,14,8,1000,909.99
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,11.6,32,32,204.95
Dell,13.3,16,1024,1163.21
Dell,15.6,8,256,901.85
Lenovo,14,4,64,177
HP,15.6,16,512,2499
HP,11.6,4,16,75
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,14,8,64,432.7
Dell,13.4,32,1000,1501.49
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,15.6,8,128,316.99
SAMSUNG,15.6,16,512,1320.86
Dell,17.3,32,512,3075.33
Dell,14.1,2,300,84.54
Gateway,14,4,64,169.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,14,16,512,1049.99
ASUS,14,4,320,324.37
Dell,15.6,64,1000,2929.35
Lenovo,16,32,1000,2251.99
acer,14,16,512,532.49
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,4,128,399
Lenovo,11.6,4,32,239.99
Dell,15.6,8,2000,356.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,13.3,16,256,1863.52
Dell,14,16,512,2312.24
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,20,512,499.99
Dell,14,32,1000,1670.17
Toughbook,10.1,8,128,959
Dell,14,16,256,876.02
Dell,15.6,16,1000,1588.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,13.3,8,256,500.11
Lenovo,16,64,2000,2319
Dell,17,32,512,2701.64
acer,15.07458908761577,4,1000,341.45
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,11.6,4,1000,229.99
acer,15.6,8,256,528.18
Dell,13.3,8,256,699.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,8,512,1019
acer,14,16,1000,1347.59
ASUS,13.3,8,512,1099
ASUS,14,8,512,819.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Lenovo,15.6,8,1000,690
Dell,15.6,32,512,1488.95
LG,16,16,512,900.9
HP,14,4,32,297
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,16,512,1637.24
acer,11.6,4,1000,269
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Dell,14,16,256,917.24
Panasonic,14,8,256,700
ASUS,11.6,4,1000,198
ASUS,17.3,12,1000,519
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,13.3,8,256,2199
HP,15.6,16,256,939.19
Dell,17,32,1000,2949
Lenovo,14,16,1000,1599
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,32,512,2148.82
MSI,15.6,64,1000,1289.99
Lenovo,15.6,4,256,349.99
HP,14,32,1000,599.99
Microsoft,13.5,8,1000,449
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
ASUS,16,32,1000,1445.82
LG,16,16,1000,1546.84
Panasonic,13.1,8,480,552.99
Acer,15.07458908761577,16,1000,1249.98
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,8,256,369.95
Dell,15.6,64,2000,1125
Dell,13,8,256,749.99
Dell,15.6,32,256,479.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,16,12,512,629
Dell,13.3,8,256,598.99
Lenovo,13.3,16,512,849
Dell,17.3,12,512,1486.99
Panasonic,13.1,16,1000,599.99
Dell,15.6,16,1000,1767.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,13,16,1000,899.74
Dell,17,32,512,3345.99
Lenovo,14,4,0,289
Dell,14,32,512,1535.99
Dell,14,16,1000,1499.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,11.6,4,1000,154.89
ASUS,17.3,8,512,743.66
MSI,13.4,32,1000,1599
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,15.6,8,512,879.99
Lenovo,16,16,1000,1488.64
Dell,15,16,512,986.99
Dell,15.6,16,1000,2499.99
SAMSUNG,15.6,4,1000,268.99
acer,14,16,1000,1026.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,15.6,64,1000,999.99
Dell,16,64,1000,3999.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,15.6,32,1000,2249
ASUS,11.6,8,32,444.99
Panasonic,15.4,16,480,606.89
ASUS,15.6,8,128,370.23
Apple,16,16,1000,1419
Dell,14,16,512,1910.62
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Lenovo,15.07458908761577,16,1000,1169
Lenovo,14,16,512,711.99
ASUS,15.6,4,128,319
Panasonic,15.4,8,240,450
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,16,512,659.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,12,256,899.99
MSI,16,16,1000,1599
Lenovo,15.6,4,128,399.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
LG,16,8,512,978.99
Dell,15.6,32,2000,1481.86
Dell,14,64,2000,993.23
Dell,13.3,16,256,1499
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,12.5,8,500,248.98
Lenovo,16,32,2000,2119
LG,15,8,512,1469.44
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,32,1000,1986.99
MSI,15.6,16,1000,1349.49
Dell,14,8,256,726.07
MSI,15.6,16,512,1099.99
HP,14,8,1000,587.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,2,320,99.99
HP,14,4,1000,207.99
Dell,15.6,16,512,1910.11
HP,15.6,8,1000,479.99
acer,11.6,4,64,316.39
HP,11.6,4,32,168
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Lenovo,14,16,512,1209
Dell,17,32,1000,2999
Dell,14,16,256,798
dell,13.4,16,1000,1355.84
ASUS,15.6,8,256,499.99
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Toughbook,14,16,512,1195
Microsoft,15,16,512,1299
Dell,15.6,32,1000,1962.99
HP,14,4,320,124
Panasonic,12,16,512,1773.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,17.3,64,512,3376.64
Dell,17,32,1000,4999
MSI,14,16,1000,839.99
Lenovo,16,16,512,1499
acer,11.6,4,32,334.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
HP,16,16,512,1400
Dell,16,16,512,1599.99
Lenovo,15.6,16,512,864.14
Dell,17,64,2000,3399.99
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,11.6,8,1000,282.67
Lenovo,11.6,4,32,253.46
Lenovo,14,16,256,965.99
Dell,15.6,16,1000,1163.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,16,256,1152.45
Lenovo,14,4,256,468
ASUS,17.3,16,1000,1699
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,32,1000,1349.99
IVIEW,14.1,4,64,239.99
MSI,15.6,16,1000,1246.47
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,16,1000,792.95
HP,17.3,16,1000,474.98
Lenovo,11.6,4,64,269.99
acer,14,8,512,599.99
MSI,15.6,32,1000,1129.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
